from	to	relation
ТЕМПЕРАМЕНТ ЧЕЛОВЕКА	СВОЙСТВО,ХАРАКТЕРИСТИКА	ВЫШЕ
ТОРЖЕСТВЕННЫЙ (ВАЖНЫЙ,ВЕЛИЧАВЫЙ,СЕРЬЕЗНЫЙ)	СВОЙСТВО,ХАРАКТЕРИСТИКА	ВЫШЕ
ФИЗИЧЕСКИ СИЛЬНЫЙ	СВОЙСТВО,ХАРАКТЕРИСТИКА	ВЫШЕ
ФИЗИЧЕСКОЕ СВОЙСТВО	СВОЙСТВО,ХАРАКТЕРИСТИКА	ВЫШЕ
ФОРМА,НАРУЖНЫЙ ВИД	СВОЙСТВО,ХАРАКТЕРИСТИКА	ВЫШЕ
ХАРАКТЕРИСТИКА ВЫСКАЗЫВАНИЯ	СВОЙСТВО,ХАРАКТЕРИСТИКА	ВЫШЕ
ХАРАКТЕРИСТИКА ДЕЙСТВИЙ	СВОЙСТВО,ХАРАКТЕРИСТИКА	ВЫШЕ
ХАРАКТЕРИСТИКА ЗВУКА	СВОЙСТВО,ХАРАКТЕРИСТИКА	ВЫШЕ
ХАРАКТЕРИСТИКА ИНФОРМАЦИИ	СВОЙСТВО,ХАРАКТЕРИСТИКА	ВЫШЕ
ХАРАКТЕРИСТИКА МУЗЫКАЛЬНОГО ПРОИЗВЕДЕНИЯ	СВОЙСТВО,ХАРАКТЕРИСТИКА	ВЫШЕ
ХАРАКТЕРИСТИКА ПРОЦЕССА	СВОЙСТВО,ХАРАКТЕРИСТИКА	ВЫШЕ
ЦЕЛОСТНЫЙ	СВОЙСТВО,ХАРАКТЕРИСТИКА	ВЫШЕ
ЧИСТЫЙ,БЕЗ ПРИМЕСЕЙ	СВОЙСТВО,ХАРАКТЕРИСТИКА	ВЫШЕ
ЭКОЛОГИЧНОСТЬ	СВОЙСТВО,ХАРАКТЕРИСТИКА	ВЫШЕ
ВИД ОКРУЖАЮЩЕЙ МЕСТНОСТИ	ВНЕШНИЙ ОБЛИК	ВЫШЕ
ВНЕШНИЙ ОБЛИК	ВНЕШНИЙ ОБЛИК	ВЫШЕ
ВЫРАЖЕНИЕ ЛИЦА	ВНЕШНИЙ ОБЛИК	ВЫШЕ
ГРИМАСА	ВНЕШНИЙ ОБЛИК	ВЫШЕ
ДИЗАЙН (ВНЕШНИЙ ВИД)	ВНЕШНИЙ ОБЛИК	ВЫШЕ
ЗРЕЛИЩЕ (ВИД)	ВНЕШНИЙ ОБЛИК	ВЫШЕ
КАМЕННОЕ ЛИЦО	ВНЕШНИЙ ОБЛИК	ВЫШЕ
МЕСЯЦ (ФАЗА ЛУНЫ)	ВНЕШНИЙ ОБЛИК	ВЫШЕ
НОВОЛУНИЕ (ФАЗА ЛУНЫ)	ВНЕШНИЙ ОБЛИК	ВЫШЕ
ОБСТАНОВКА ПОМЕЩЕНИЯ	ВНЕШНИЙ ОБЛИК	ВЫШЕ
ОКРУЖАЮЩИЙ ПЕЙЗАЖ	ВНЕШНИЙ ОБЛИК	ВЫШЕ
ОФОРМЛЕНИЕ (ВНЕШНИЙ ВИД)	ВНЕШНИЙ ОБЛИК	ВЫШЕ
ПЕРСПЕКТИВА,ПАНОРАМА	ВНЕШНИЙ ОБЛИК	ВЫШЕ
ПОКАЗУХА,БУТАФОРИЯ	ВНЕШНИЙ ОБЛИК	ВЫШЕ
ПОЛНОЛУНИЕ (ФАЗА ЛУНЫ)	ВНЕШНИЙ ОБЛИК	ВЫШЕ
ПРОСТОР,РАЗДОЛЬЕ	ВНЕШНИЙ ОБЛИК	ВЫШЕ
ПРОФИЛЬ ЛИЦА	ВНЕШНИЙ ОБЛИК	ВЫШЕ
СЕРВИРОВКА СТОЛА	ВНЕШНИЙ ОБЛИК	ВЫШЕ
УБРАНСТВО (ВНЕШНИЙ ВИД)	ВНЕШНИЙ ОБЛИК	ВЫШЕ
УЛЫБКА	ВНЕШНИЙ ОБЛИК	ВЫШЕ
УСМЕШКА	ВНЕШНИЙ ОБЛИК	ВЫШЕ
ФАЗА ЛУНЫ	ВНЕШНИЙ ОБЛИК	ВЫШЕ
ЩУРИТЬ ГЛАЗА	ВНЕШНИЙ ОБЛИК	ВЫШЕ
ЭКСТЕРЬЕР ЖИВОТНОГО	ВНЕШНИЙ ОБЛИК	ВЫШЕ
БЛЕКЛЫЙ (БЕСЦВЕТНЫЙ)	ВНЕШНЯЯ ЧЕРТА	ВЫШЕ
БЛЕСТЯЩИЙ (ИМЕЮЩИЙ ЯРКИЙ БЛЕСК)	ВНЕШНЯЯ ЧЕРТА	ВЫШЕ
ВЕСЕЛЫЙ ПО ЦВЕТУ	ВНЕШНЯЯ ЧЕРТА	ВЫШЕ
ВНЕШНЯЯ ЧЕРТА	ВНЕШНЯЯ ЧЕРТА	ВЫШЕ
ВНЯТНЫЙ	ВНЕШНЯЯ ЧЕРТА	ВЫШЕ
ГЛУХОЙ,ГЛУХО ЗВУЧАЩИЙ	ВНЕШНЯЯ ЧЕРТА	ВЫШЕ
ГЛЯНЦЕВЫЙ (БЛЕСТЯЩИЙ)	ВНЕШНЯЯ ЧЕРТА	ВЫШЕ
ГРУБЫЙ ПО ЗВУКУ	ВНЕШНЯЯ ЧЕРТА	ВЫШЕ
ДЛИННОНОГИЙ,С ДЛИННЫМИ НОГАМИ	ВНЕШНЯЯ ЧЕРТА	ВЫШЕ
ЖЕМЧУЖНЫЙ ЦВЕТ	ВНЕШНЯЯ ЧЕРТА	ВЫШЕ
ЖЕНСТВЕННОСТЬ	ВНЕШНЯЯ ЧЕРТА	ВЫШЕ
ЗАПУЩЕННЫЙ,НЕУХОЖЕННЫЙ	ВНЕШНЯЯ ЧЕРТА	ВЫШЕ
ЗЕРКАЛЬНЫЙ (ГЛАДКИЙ И БЛЕСТЯЩИЙ)	ВНЕШНЯЯ ЧЕРТА	ВЫШЕ
КОВАНЫЙ (ЧЕТКИЙ,ВЫРАЗИТЕЛЬНЫЙ)	ВНЕШНЯЯ ЧЕРТА	ВЫШЕ
КОРЕНАСТЫЙ,ПРИЗЕМИСТЫЙ	ВНЕШНЯЯ ЧЕРТА	ВЫШЕ
КРИЧАЩЕ ЯРКИЙ	ВНЕШНЯЯ ЧЕРТА	ВЫШЕ
КУДРЯВЫЙ,КУРЧАВЫЙ	ВНЕШНЯЯ ЧЕРТА	ВЫШЕ
МАТОВЫЙ,НЕГЛЯНЦЕВЫЙ	ВНЕШНЯЯ ЧЕРТА	ВЫШЕ
НЕВНЯТНЫЙ,ПЛОХО СЛЫШИМЫЙ	ВНЕШНЯЯ ЧЕРТА	ВЫШЕ
НЕРАЗБОРЧИВЫЙ	ВНЕШНЯЯ ЧЕРТА	ВЫШЕ
НЕЧЕТКИЙ,НЕОТЧЕТЛИВЫЙ	ВНЕШНЯЯ ЧЕРТА	ВЫШЕ
ОСОБЕННОСТИ ТЕЛОСЛОЖЕНИЯ	ВНЕШНЯЯ ЧЕРТА	ВЫШЕ
ПЕРЕЛИВЧАТЫЙ,С ПЕРЕЛИВАМИ	ВНЕШНЯЯ ЧЕРТА	ВЫШЕ
ПЕРЛАМУТРОВЫЙ ЦВЕТ	ВНЕШНЯЯ ЧЕРТА	ВЫШЕ
ПЛЕЧИСТЫЙ,ШИРОКОПЛЕЧИЙ	ВНЕШНЯЯ ЧЕРТА	ВЫШЕ
ПОДАВЛЕННЫЙ (ПРИГЛУШЕННЫЙ)	ВНЕШНЯЯ ЧЕРТА	ВЫШЕ
ПОМЯТЫЙ (УТОМЛЕННЫЙ)	ВНЕШНЯЯ ЧЕРТА	ВЫШЕ
ПРИГЛУШЕННЫЙ (ТИХИЙ)	ВНЕШНЯЯ ЧЕРТА	ВЫШЕ
РАЗБОРЧИВЫЙ (ОТЧЕТЛИВЫЙ)	ВНЕШНЯЯ ЧЕРТА	ВЫШЕ
РАЗДЕЛЬНЫЙ (ОТЧЕТЛИВЫЙ)	ВНЕШНЯЯ ЧЕРТА	ВЫШЕ
РАСПИСНОЙ (КРАСОЧНЫЙ)	ВНЕШНЯЯ ЧЕРТА	ВЫШЕ
РАСПЛЫВЧАТЫЙ ПО ФОРМЕ	ВНЕШНЯЯ ЧЕРТА	ВЫШЕ
РЕЗКИЙ ПО ЦВЕТУ	ВНЕШНЯЯ ЧЕРТА	ВЫШЕ
РЕЗКОСТЬ ИЗОБРАЖЕНИЯ	ВНЕШНЯЯ ЧЕРТА	ВЫШЕ
РОГАТЫЙ,С РОГАМИ	ВНЕШНЯЯ ЧЕРТА	ВЫШЕ
СМУТНЫЙ (НЕЯСНЫЙ,НЕОТЧЕТЛИВЫЙ)	ВНЕШНЯЯ ЧЕРТА	ВЫШЕ
СОЧНЫЙ ПО ЦВЕТУ	ВНЕШНЯЯ ЧЕРТА	ВЫШЕ
ТОЧЕНЫЙ (ЧЕТКИЙ И КРАСИВЫЙ)	ВНЕШНЯЯ ЧЕРТА	ВЫШЕ
УХОЖЕННЫЙ ВИД	ВНЕШНЯЯ ЧЕРТА	ВЫШЕ
ХОЛЕНЫЙ (УХОЖЕННЫЙ)	ВНЕШНЯЯ ЧЕРТА	ВЫШЕ
ХРИПЛЫЙ	ВНЕШНЯЯ ЧЕРТА	ВЫШЕ
ЦВЕТАСТЫЙ	ВНЕШНЯЯ ЧЕРТА	ВЫШЕ
ЧЕТКИЙ,ЧЕТКО ОЧЕРЧЕННЫЙ	ВНЕШНЯЯ ЧЕРТА	ВЫШЕ
ЯРКИЙ ПО ЦВЕТУ	ВНЕШНЯЯ ЧЕРТА	ВЫШЕ
АВИТАМИНОЗ	КАЧЕСТВО (СТЕПЕНЬ ЦЕННОСТИ,ПРИГОДНОСТИ)	ВЫШЕ
АДЕНОИДЫ	КАЧЕСТВО (СТЕПЕНЬ ЦЕННОСТИ,ПРИГОДНОСТИ)	ВЫШЕ
АСТМА	КАЧЕСТВО (СТЕПЕНЬ ЦЕННОСТИ,ПРИГОДНОСТИ)	ВЫШЕ
БАРОТРАВМА	КАЧЕСТВО (СТЕПЕНЬ ЦЕННОСТИ,ПРИГОДНОСТИ)	ВЫШЕ
БЕДНОСТЬ,НУЖДА	КАЧЕСТВО (СТЕПЕНЬ ЦЕННОСТИ,ПРИГОДНОСТИ)	ВЫШЕ
БЕЗГРАМОТНЫЙ (ОШИБОЧНЫЙ)	КАЧЕСТВО (СТЕПЕНЬ ЦЕННОСТИ,ПРИГОДНОСТИ)	ВЫШЕ
БЕСПЛОДИЕ	КАЧЕСТВО (СТЕПЕНЬ ЦЕННОСТИ,ПРИГОДНОСТИ)	ВЫШЕ
БЕСПОМОЩНЫЙ (ОЧЕНЬ ПЛОХОЙ,СЛАБЫЙ,БЕЗДАРНЫЙ)	КАЧЕСТВО (СТЕПЕНЬ ЦЕННОСТИ,ПРИГОДНОСТИ)	ВЫШЕ
БОГАТЫЙ,НЕБЕДНЫЙ	КАЧЕСТВО (СТЕПЕНЬ ЦЕННОСТИ,ПРИГОДНОСТИ)	ВЫШЕ
БОЛЕЗНИ КОСТНО-МЫШЕЧНОЙ СИСТЕМЫ	КАЧЕСТВО (СТЕПЕНЬ ЦЕННОСТИ,ПРИГОДНОСТИ)	ВЫШЕ
БОЛЕЗНИ КРОВИ	КАЧЕСТВО (СТЕПЕНЬ ЦЕННОСТИ,ПРИГОДНОСТИ)	ВЫШЕ
БОЛЕЗНИ МОЧЕПОЛОВОЙ СИСТЕМЫ	КАЧЕСТВО (СТЕПЕНЬ ЦЕННОСТИ,ПРИГОДНОСТИ)	ВЫШЕ
БОЛЕЗНИ ОРГАНОВ ДЫХАНИЯ	КАЧЕСТВО (СТЕПЕНЬ ЦЕННОСТИ,ПРИГОДНОСТИ)	ВЫШЕ
БОЛЕЗНЬ	КАЧЕСТВО (СТЕПЕНЬ ЦЕННОСТИ,ПРИГОДНОСТИ)	ВЫШЕ
БОЛЕЗНЬ ЖИВОТНОГО	КАЧЕСТВО (СТЕПЕНЬ ЦЕННОСТИ,ПРИГОДНОСТИ)	ВЫШЕ
БОЛЕЗНЬ ИММУННОЙ СИСТЕМЫ	КАЧЕСТВО (СТЕПЕНЬ ЦЕННОСТИ,ПРИГОДНОСТИ)	ВЫШЕ
БОЛЕЗНЬ МОЗГА	КАЧЕСТВО (СТЕПЕНЬ ЦЕННОСТИ,ПРИГОДНОСТИ)	ВЫШЕ
БОЛЕЗНЬ ПЕРЕДВИЖЕНИЯ	КАЧЕСТВО (СТЕПЕНЬ ЦЕННОСТИ,ПРИГОДНОСТИ)	ВЫШЕ
БОЛЕЗНЬ РАСТЕНИЙ	КАЧЕСТВО (СТЕПЕНЬ ЦЕННОСТИ,ПРИГОДНОСТИ)	ВЫШЕ
БРЕШЬ (ПРОЛОМ,ПРОБОИНА)	КАЧЕСТВО (СТЕПЕНЬ ЦЕННОСТИ,ПРИГОДНОСТИ)	ВЫШЕ
ВОЛДЫРЬ НА КОЖЕ	КАЧЕСТВО (СТЕПЕНЬ ЦЕННОСТИ,ПРИГОДНОСТИ)	ВЫШЕ
ВОСПАЛЕНИЕ (БОЛЕЗНЕННЫЙ ПРОЦЕСС)	КАЧЕСТВО (СТЕПЕНЬ ЦЕННОСТИ,ПРИГОДНОСТИ)	ВЫШЕ
ВРАТЬ,ПОКАЗЫВАТЬ НЕВЕРНО	КАЧЕСТВО (СТЕПЕНЬ ЦЕННОСТИ,ПРИГОДНОСТИ)	ВЫШЕ
ВРЕД КУРЕНИЯ	КАЧЕСТВО (СТЕПЕНЬ ЦЕННОСТИ,ПРИГОДНОСТИ)	ВЫШЕ
ВРЕМЕННАЯ НЕТРУДОСПОСОБНОСТЬ	КАЧЕСТВО (СТЕПЕНЬ ЦЕННОСТИ,ПРИГОДНОСТИ)	ВЫШЕ
ВРОЖДЕННОЕ ЗАБОЛЕВАНИЕ	КАЧЕСТВО (СТЕПЕНЬ ЦЕННОСТИ,ПРИГОДНОСТИ)	ВЫШЕ
ВТОРОСОРТНЫЙ	КАЧЕСТВО (СТЕПЕНЬ ЦЕННОСТИ,ПРИГОДНОСТИ)	ВЫШЕ
ВЫБОИНА (ПОВРЕЖДЕНИЕ)	КАЧЕСТВО (СТЕПЕНЬ ЦЕННОСТИ,ПРИГОДНОСТИ)	ВЫШЕ
ВЫКИДЫШ	КАЧЕСТВО (СТЕПЕНЬ ЦЕННОСТИ,ПРИГОДНОСТИ)	ВЫШЕ
ВЫСОКОСОРТНЫЙ	КАЧЕСТВО (СТЕПЕНЬ ЦЕННОСТИ,ПРИГОДНОСТИ)	ВЫШЕ
ГАЛЛЮЦИНАЦИЯ	КАЧЕСТВО (СТЕПЕНЬ ЦЕННОСТИ,ПРИГОДНОСТИ)	ВЫШЕ
ГАНГРЕНА	КАЧЕСТВО (СТЕПЕНЬ ЦЕННОСТИ,ПРИГОДНОСТИ)	ВЫШЕ
ГЕМОРРОЙ	КАЧЕСТВО (СТЕПЕНЬ ЦЕННОСТИ,ПРИГОДНОСТИ)	ВЫШЕ
ГИНЕКОЛОГИЧЕСКАЯ ПАТОЛОГИЯ	КАЧЕСТВО (СТЕПЕНЬ ЦЕННОСТИ,ПРИГОДНОСТИ)	ВЫШЕ
ГЛАЗНАЯ БОЛЕЗНЬ	КАЧЕСТВО (СТЕПЕНЬ ЦЕННОСТИ,ПРИГОДНОСТИ)	ВЫШЕ
ГОЛОВОКРУЖЕНИЕ	КАЧЕСТВО (СТЕПЕНЬ ЦЕННОСТИ,ПРИГОДНОСТИ)	ВЫШЕ
ГРИБКОВОЕ ЗАБОЛЕВАНИЕ	КАЧЕСТВО (СТЕПЕНЬ ЦЕННОСТИ,ПРИГОДНОСТИ)	ВЫШЕ
ГРУБО ОБРАБОТАННЫЙ	КАЧЕСТВО (СТЕПЕНЬ ЦЕННОСТИ,ПРИГОДНОСТИ)	ВЫШЕ
ГРЫЖА	КАЧЕСТВО (СТЕПЕНЬ ЦЕННОСТИ,ПРИГОДНОСТИ)	ВЫШЕ
ДВИГАТЕЛЬ ЗАГЛОХ	КАЧЕСТВО (СТЕПЕНЬ ЦЕННОСТИ,ПРИГОДНОСТИ)	ВЫШЕ
ДЕТСКАЯ БЕЗНАДЗОРНОСТЬ	КАЧЕСТВО (СТЕПЕНЬ ЦЕННОСТИ,ПРИГОДНОСТИ)	ВЫШЕ
ДЕТСКАЯ БОЛЕЗНЬ	КАЧЕСТВО (СТЕПЕНЬ ЦЕННОСТИ,ПРИГОДНОСТИ)	ВЫШЕ
ДЕФЕКТ	КАЧЕСТВО (СТЕПЕНЬ ЦЕННОСТИ,ПРИГОДНОСТИ)	ВЫШЕ
ДИСФУНКЦИЯ ОРГАНОВ	КАЧЕСТВО (СТЕПЕНЬ ЦЕННОСТИ,ПРИГОДНОСТИ)	ВЫШЕ
ДОБРОДЕТЕЛЬ (ПОЛОЖИТЕЛЬНОЕ НРАВСТВЕННОЕ КАЧЕСТВО)	КАЧЕСТВО (СТЕПЕНЬ ЦЕННОСТИ,ПРИГОДНОСТИ)	ВЫШЕ
ДОБРОТНЫЙ	КАЧЕСТВО (СТЕПЕНЬ ЦЕННОСТИ,ПРИГОДНОСТИ)	ВЫШЕ
ДОМОРОЩЕННЫЙ (ПРИМИТИВНЫЙ)	КАЧЕСТВО (СТЕПЕНЬ ЦЕННОСТИ,ПРИГОДНОСТИ)	ВЫШЕ
ДОРОЖНО-ТРАНСПОРТНЫЙ ТРАВМАТИЗМ	КАЧЕСТВО (СТЕПЕНЬ ЦЕННОСТИ,ПРИГОДНОСТИ)	ВЫШЕ
ДОСТОВЕРНОСТЬ ИНФОРМАЦИИ	КАЧЕСТВО (СТЕПЕНЬ ЦЕННОСТИ,ПРИГОДНОСТИ)	ВЫШЕ
ДЫРА (ДЕФЕКТ)	КАЧЕСТВО (СТЕПЕНЬ ЦЕННОСТИ,ПРИГОДНОСТИ)	ВЫШЕ
